Event.Date,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Amateur.Built,Weather.Condition,Location,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk_Score,Make_Model
2000-01-21,Substantial,airplane,MYERS,Q-2,1,Reciprocating,Yes,VMC,"COMPTON, CA",Personal,0,0,1,0,1,MYERS Q-2
2000-02-16,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"MCALESTER, OK",Unknown,1,0,0,1,3,CESSNA 208B
2000-02-16,Destroyed,airplane,CESSNA,182M,1,Reciprocating,No,VMC,"MCALESTER, OK",Personal,1,0,0,1,3,CESSNA 182M
2000-02-16,Destroyed,airplane,DOUGLAS,DC-8-71F,4,Turbo Fan,No,VMC,"RANCHO CORDOVA, CA",,3,0,0,0,9,DOUGLAS DC-8-71F
2000-03-05,Destroyed,airplane,BOEING,737-300,2,Turbo Fan,No,VMC,"BURBANK, CA",Unknown,0,2,42,98,46,BOEING 737-300
2000-04-05,Destroyed,airplane,LEARJET,35A,2,Turbo Fan,No,VMC,"MARIANNA, FL",Instructional,3,0,0,0,9,LEARJET 35A
2000-07-08,Destroyed,airplane,CESSNA,402C,2,Reciprocating,No,VMC,VIEQUES,Unknown,1,0,0,0,3,CESSNA 402C
2000-07-21,Substantial,airplane,STEEL/VANS,RV6,1,Reciprocating,Yes,VMC,"WINNEMUCCA, NV",Personal,0,0,1,0,1,STEEL/VANS RV6
2000-08-08,Substantial,airplane,SCHWEIZER,G-164B,1,Reciprocating,No,VMC,"WALLACE, NE",Aerial Application,0,0,0,1,0,SCHWEIZER G-164B
2000-09-14,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"BELLEVILLE, MI",,0,0,0,1,0,CESSNA 208B
2001-01-07,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"PARKTON, NC",Skydiving,0,0,0,1,0,CESSNA 182A
2001-01-14,Destroyed,airplane,LEARJET,LJ-60,2,Turbo Jet,No,VMC,"Troy, AL",Executive/corporate,0,2,0,0,4,LEARJET LJ-60
